caption;created_at;event_sentiment;circuit_sentiment
"""Five years ago, I had my most serious accident, not in absolute terms, but because of the wrong choices I made. I came back too early, and then everything got worse.

In those three or four years when I missed the chance to fight for the world championship, I learned a lot about my life. And so it changed my character a bit. I'm proud to continue growing in life."" : Marc Marquez 

Source: TNT Sports";2025-07-20 14.40.42;neutral;neutral
"Legenda balap motor Valentino Rossi tiba di Jakarta jelang penyelenggaraan MotoGP Mandalika 2025 pada akhir pekan mendatang.

Rossi telah mendarat di Bandar Udara Soekarno-Hatta pada Senin (29/9) pukul 22.30 WIB. Sosok yang punya julukan The Doctor itu mendapat sambutan hangat di bandara.

Kedatangan Rossi sudah ditunggu-tunggu oleh fans. Bahkan ada yang membawa helm untuk ditandatangani pembalap yang punya sembilan gelar juara dunia itu.";2025-09-30 20.54.12;positive;neutral
Menyusuri Sejarah Motorsport Indonesia di Museum MotoGP Mandalika  https://www.idntimes.com/sport/arena/menyusuri-sejarah-motorsport-indonesia-di-museum-motogp-mandalika-00-dtjm6-z3zvvk?utm_source=threads&utm_medium=threads&utm_campaign=dlvr.it;2025-10-06 19.08.19;neutral;neutral
Menteri Pemuda dan Olahraga Erick Thohir menyebutkan jumlah penonton MotoGP Indonesia di Sirkuit Mandalika Kabupaten Lombok Tengah Nusa Tenggara Barat tembus sampai 142 ribu orang.https://t.co/veteTzY0ts;2025-10-05 12.39.53;neutral;neutral
"Momen Pacu Jalur Rayyan Arkan Dikha Guncang Mandalika MotoGP Indonesia

#TVRI #TVRINasional #MediaPemersatuBangsa";2025-10-04 20.21.14;neutral;neutral
Ini sih bukan Circuit terbaik di lokal area tapi udah men-Dunia, asli gak ada obat gila²..;2022-11-09 08.51.31;neutral;positive
Nonton MotoGP tiket Grandstand A. Pengalaman yang sangat memuaskan dan seru. Balapannya banyak yang crash tapi aman karena tidak ada yang fatal. Panasnya kuta mandalika bikin meleleh untung saya beli tiket di stand yang ada rooftopnya. Tapi harganya lumayan mahal dan gak sempat ambil bonus hospitalitynya dan nonton festival band terkenal karena harus ngejar kapal ke Bali.;2024-11-08 08.51.31;positive;neutral
"The livery voted by YOU, the fans 🫵

PASSION. 

Take a closer look at the details.";2025-10-02 16.50.45;positive;neutral
"Nonton MotoGP dari Bukit Niti, cakeepp!

The vibes, the moment, the people! Nonton MotoGP di sirkuit Mandalika langsung dari Bukit Niti bersama orang - orang special, an unforgettable experience.

Special thanks to  @nitiracing  family 💙

📷:  @sisigungs   @nitiracing 

#NitiRacing #Mandalika #BukitNiti #BringsYouSafety #RCMotogarage #RCMotogarageJakarta #RCMotogarageBandung #RCMotogarageGadingSerpong #RCMotogarageSurabaya #RCJakarta #RCBandung #RCGadingSerpong #RCSurabaya";2025-10-10 14.24.01;positive;neutral
BRI dukung MotoGP Mandalika 2025 dengan layanan digital booth UMKM dan promo cashback. Dorong sport tourism dan ekonomi lokal Lombok. https://t.co/Q2wqKVcC94;2025-10-05 13.47.27;positive;neutral
"Kawan Sewarga seminggu jadi warlok Mandalika🙏

#mandalika #motogp #360 #kawansewarga #view #race #lombok";2025-10-06 13.31.13;neutral;neutral
